"","Time","Event_length","Y89Di","Pd102Di","Rh103Di","Pd104Di","Pd105Di","Pd106Di","Pd108Di","Pd110Di","In113Di","In115Di","Ba138Di","La139Di","Ce140Di","Pr141Di","Nd142Di","Nd143Di","Nd144Di","Nd145Di","Nd146Di","Sm147Di","Nd148Di","Sm149Di","Nd150Di","Eu151Di","Sm152Di","Eu153Di","Sm154Di","Gd155Di","Gd156Di","Gd157Di","Gd158Di","Tb159Di","Gd160Di","Dy161Di","Dy162Di","Dy163Di","Dy164Di","Ho165Di","Er166Di","Er167Di","Er168Di","Tm169Di","Er170Di","Yb171Di","Yb172Di","Yb173Di","Yb174Di","Lu175Di","Yb176Di","Ir191Di","Ir193Di","Pt195Di","Pt196Di","Pb208Di","Center","Offset","Width","Residual","FileNum"
"Lu175Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31568683611633e-52,-9.49144560105106e-46,-1.80036089873099e-42,-5.71626309854219e-42,1.05401816865642e-41,-3.67360739437605e-42,-2.12386878982359e-41,3.69602317405123e-40,-4.74682815464376e-40,-3.88392486326718e-40,1.38477285897007e-39,3.28319955750939e-42,1.39872792838781e-39,2.567310567484e-41,9.34825430499473e-37,6.16771608343505e-33,-6.14401477645557e-33,-1.37926241803155e-32,-9.28926113723464e-32,-5.66149925209145e-34,-7.36374255545241e-31,2.32075330187105e-28,2.85455587044237e-28,1.33095547313821e-27,-2.58096299476144e-26,1.54509781610842e-28,8.2972552101176e-25,-4.3601860994426e-25,-1.65436122510606e-24,-2.73521291962813e-25,-2.11757776810795e-22,-1.69406221448636e-21,-6.77624885794545e-21,-3.38812442897272e-21,0.00038457569303972,1,0.00345045641258079,0,0,0,0,0,0,0,0,0,0
"Yb176Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.72324147805635e-50,1.11731735129191e-43,4.06004891230003e-39,4.38977360916896e-40,8.27729639463722e-39,-3.17143919854914e-39,-2.54166217471371e-39,-6.15155888522515e-39,-4.61455120113159e-37,-4.24240525975443e-37,1.8313962087418e-37,-7.30574100284121e-41,-3.10991069480472e-36,-1.3439381323208e-38,6.90857978863114e-35,1.92461934637561e-30,7.39632296425557e-32,-5.84208211631381e-31,-1.28088927172631e-29,4.27520083943875e-32,3.62900343611673e-27,2.20130978751329e-25,2.62024208600717e-25,1.13012691209082e-24,6.18962278690081e-26,4.68350621821966e-26,-8.28811153520133e-25,-8.63495137825545e-22,-4.75937528107202e-24,-8.08495535317171e-23,0.000298468302013127,0.00366748489510392,0.00678881600716015,0.00452694924854097,0.0195372793962441,0.000629569381463226,1,0,0,0,0,0,0,0,0,0,0
"Ir191Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Ir193Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Pt195Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Pt196Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Pb208Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Center",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Offset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Width",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Residual",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FileNum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
